1222, 1906, 1739, 1806, 701, 1930, 1904, 1758, 1610, 1947
221, 1377, 1083, 819, 1506, 1367, 99, 946, 1716, 1947
568, 1877, 837, 1225, 1572, 1630, 1493, 82, 864, 1949
9, 441, 1607, 1375, 145, 1775, 1809, 1851, 848, 1262
1334, 139, 988, 645, 802, 1808, 721, 1230, 1450, 761
1215, 28, 692, 696, 1136, 76, 515, 435, 1844, 1629
98, 622, 1425, 228, 1189, 121, 913, 329, 1255, 172
285, 1873, 1905, 1367, 1084, 849, 1703, 750, 768, 140
1524, 1827, 202, 649, 1592, 224, 487, 366, 1461, 144
73, 1744, 908, 1382, 1935, 905, 1221, 1151, 387, 334
